[2022-03-15 01:03:20,759] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: Almeria |Zipcode: 04004 | Orden del dataframe: 101
[{2164818226.py:58} INFO - Sin procesar |City: Almeria |Zipcode: 04004 | Orden del dataframe: 101
[2022-03-15 01:03:20,760] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: Almeria |Zipcode: 04004 | Orden del dataframe: 102
[{2164818226.py:58} INFO - Sin procesar |City: Almeria |Zipcode: 04004 | Orden del dataframe: 102
[2022-03-15 01:03:20,760] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: Almeria |Zipcode: 04004 | Orden del dataframe: 103
[{2164818226.py:58} INFO - Sin procesar |City: Almeria |Zipcode: 04004 | Orden del dataframe: 103
[2022-03-15 01:03:20,761] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: Almeria |Zipcode: 04004 | Orden del dataframe: 104
[{2164818226.py:58} INFO - Sin procesar |City: Almeria |Zipcode: 04004 | Orden del dataframe: 104
[2022-03-15 01:03:20,761] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: ALBACETE |Zipcode: 02001 | Orden del dataframe: 105
[{2164818226.py:58} INFO - Sin procesar |City: ALBACETE |Zipcode: 02001 | Orden del dataframe: 105
[2022-03-15 01:03:20,761] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: ALBACETE |Zipcode: 02001 | Orden del dataframe: 106
[{2164818226.py:58} INFO - Sin procesar |City: ALBACETE |Zipcode: 02001 | Orden del dataframe: 106
[2022-03-15 01:03:20,762] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: ALBACETE |Zipcode: 02001 | Orden del dataframe: 107
[{2164818226.py:58} INFO - Sin procesar |City: ALBACETE |Zipcode: 02001 | Orden del dataframe: 107
